levelName,direction,setupType,calSource,delayMin,N,targetPct,stopPct,nonePct,avgExtraMfe,distinctDates
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",235,125,28.80,55.20,16.00,77.08,125
PD_POC,LONG,PD_POC_FADE_LONG,"real: stop=24 target=40",240,124,35.48,49.19,15.32,72.69,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",0,126,57.14,42.86,0.00,191.13,126
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",5,84,64.29,35.71,0.00,199.12,84
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",10,106,65.09,34.91,0.00,187.92,106
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",15,113,59.29,40.71,0.00,202.84,113
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",20,117,64.10,35.90,0.00,177.05,117
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",25,118,61.02,38.98,0.00,137.73,118
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",30,121,58.68,41.32,0.00,175.60,121
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",35,122,63.93,35.25,0.82,174.35,122
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",40,123,60.16,39.02,0.81,176.26,123
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",45,124,62.10,37.10,0.81,175.75,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",50,124,58.87,40.32,0.81,169.53,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",55,124,61.29,37.10,1.61,152.63,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",60,124,59.68,37.90,2.42,172.85,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",65,124,58.06,39.52,2.42,164.03,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",70,124,57.26,40.32,2.42,168.12,124
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",75,125,58.40,36.80,4.80,180.28,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",80,125,60.00,35.20,4.80,157.69,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",85,125,66.40,28.80,4.80,155.17,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",90,125,54.40,40.00,5.60,144.68,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",95,125,60.00,35.20,4.80,121.64,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",100,125,65.60,28.00,6.40,144.71,125
PD_POC,SHORT,PD_POC_FADE_SHORT,"real: stop=47 target=30",105,125,60.00,33.60,6.40,149.47,125
