zoneId,entryTime,direction,entryPrice,stopPrice,streak,mfeAtr,p50_pnl,p50_win
4,2025-09-01 00:35:00,SHORT,23410.5,23452.44375,0,0.162,-85.89,false
3,2025-09-01 02:10:00,SHORT,23398,23442.19375,4,0.111,-90.39,false
3,2025-09-01 02:50:00,LONG,23446.75,23388.55625,0,0.254,101.05,true
4,2025-09-01 02:55:00,LONG,23448.75,23415.30625,3,0.246,101.05,true
5,2025-09-01 03:30:00,LONG,23471,23415.30625,2,0.156,-113.39,false
6,2025-09-01 04:30:00,LONG,23490,23454.80625,4,0.051,-72.39,false
7,2025-09-01 04:35:00,LONG,23496,23463.80625,5,0.021,-66.39,false
7,2025-09-01 07:30:00,SHORT,23467,23492.19375,5,0.102,-52.39,false
7,2025-09-01 09:55:00,LONG,23488.75,23454.05625,2,0.084,-71.39,false
8,2025-09-01 11:25:00,LONG,23502.75,23474.55625,6,0.027,-58.39,false
8,2025-09-01 18:50:00,SHORT,23471.25,23501.94375,2,1.862,97.85,true
6,2025-09-01 19:05:00,SHORT,23451.25,23488.19375,5,1.779,97.85,true
7,2025-09-01 19:05:00,SHORT,23451.25,23488.19375,5,1.779,97.85,true
19,2025-09-01 19:25:00,SHORT,23439,23476.04025,0,0.034,-76.08,false
5,2025-09-01 19:30:00,SHORT,23442.25,23465.94375,3,0.048,-49.39,false
5,2025-09-01 20:45:00,LONG,23470.5,23432.80625,3,0.058,-77.39,false
19,2025-09-01 20:55:00,LONG,23473.75,23444.70975,0,0.045,-60.08,false
6,2025-09-01 21:10:00,LONG,23482.75,23452.30625,0,0.000,-62.89,false
6,2025-09-01 22:00:00,SHORT,23440.25,23483.94375,0,1.733,97.85,true
19,2025-09-01 22:05:00,SHORT,23439.75,23479.04025,1,1.731,97.85,true
5,2025-09-01 22:10:00,SHORT,23435.25,23465.94375,0,1.712,97.85,true
4,2025-09-01 22:20:00,SHORT,23428,23465.94375,5,1.682,97.85,true
3,2025-09-02 01:15:00,SHORT,23413.75,23443.94375,7,0.028,-62.39,false
3,2025-09-02 02:40:00,LONG,23436.25,23402.30625,2,0.066,-69.89,false
3,2025-09-02 03:20:00,SHORT,23378.5,23453.19375,0,1.475,97.85,true
2,2025-09-02 03:45:00,SHORT,23312.25,23427.44375,3,1.198,97.85,true
1,2025-09-02 08:15:00,SHORT,23170.25,23229.19375,0,0.605,97.85,true
18,2025-09-02 08:25:00,SHORT,23165.25,23204.29025,0,0.585,97.85,true
17,2025-09-02 08:45:00,SHORT,23122.25,23177.29025,0,0.405,97.85,true
17,2025-09-02 09:55:00,LONG,23233.75,23073.95975,0,0.193,-321.58,false
18,2025-09-02 09:55:00,LONG,23233.75,23122.20975,0,0.193,-225.08,false
18,2025-09-02 10:55:00,SHORT,23161.5,23230.54025,0,0.562,97.85,true
17,2025-09-02 11:15:00,SHORT,23106.75,23184.29025,1,0.333,97.85,true
16,2025-09-02 11:45:00,SHORT,23052.5,23114.04025,3,0.106,-125.08,false
15,2025-09-02 11:50:00,SHORT,23037.25,23094.29025,2,0.032,-116.08,false
15,2025-09-02 12:25:00,LONG,23067.5,23032.95975,1,3.484,97.85,true
16,2025-09-02 13:05:00,LONG,23130,23076.70975,1,3.223,97.85,true
17,2025-09-02 13:35:00,LONG,23209.75,23120.45975,0,2.890,97.85,true
18,2025-09-02 13:45:00,LONG,23219,23155.70975,1,2.852,97.85,true
18,2025-09-02 14:35:00,SHORT,23170.5,23204.79025,0,0.054,-70.58,false
18,2025-09-02 15:00:00,LONG,23209.75,23158.20975,0,2.890,97.85,true
1,2025-09-02 15:20:00,LONG,23225.25,23183.55625,4,2.826,97.85,true
26,2025-09-02 18:15:00,SHORT,23362.5,23392.5215,0,0.269,97.46,true
27,2025-09-02 18:15:00,SHORT,23362.5,23392.5215,0,0.269,97.46,true
26,2025-09-03 04:00:00,LONG,23389.5,23352.9785,4,0.569,97.46,true
2,2025-09-03 04:15:00,LONG,23424.5,23365.30625,0,0.422,97.46,true
27,2025-09-03 04:15:00,LONG,23424.5,23365.4785,1,0.422,97.46,true
28,2025-09-03 04:25:00,LONG,23419.5,23391.7285,0,0.163,-57.54,false
28,2025-09-03 04:45:00,SHORT,23408.5,23425.0215,0,0.023,-35.04,false
28,2025-09-03 05:30:00,LONG,23424.5,23393.7285,1,0.143,-63.54,false
3,2025-09-03 05:45:00,LONG,23435.5,23408.80625,3,0.096,-55.39,false
4,2025-09-03 07:10:00,LONG,23447.25,23423.05625,9,0.001,-50.39,false
4,2025-09-03 08:40:00,SHORT,23427.5,23452.94375,2,0.054,-52.89,false
3,2025-09-03 09:40:00,SHORT,23397.5,23449.44375,6,0.115,-105.89,false
28,2025-09-03 09:45:00,SHORT,23404,23442.5215,4,0.132,-79.04,false
3,2025-09-03 10:30:00,LONG,23475.25,23386.55625,2,0.210,97.46,true
28,2025-09-03 10:30:00,LONG,23475.25,23386.7285,2,0.210,97.46,true
4,2025-09-03 10:45:00,LONG,23516.5,23427.30625,4,0.037,-180.39,false
5,2025-09-03 10:45:00,LONG,23516.5,23427.30625,12,0.037,-180.39,false
6,2025-09-03 10:45:00,LONG,23516.5,23425.80625,0,0.037,-183.39,false
19,2025-09-03 10:45:00,LONG,23516.5,23427.45975,4,0.037,-180.08,false
7,2025-09-03 10:50:00,LONG,23510.75,23425.80625,3,0.024,-171.89,false
8,2025-09-03 10:50:00,LONG,23510.75,23465.30625,1,0.024,-92.89,false
9,2025-09-03 10:55:00,LONG,23508.25,23475.05625,15,0.035,-68.39,false
9,2025-09-03 11:25:00,SHORT,23424.5,23517.69375,1,0.445,97.46,true
7,2025-09-03 11:30:00,SHORT,23415.5,23500.94375,0,0.408,97.46,true
8,2025-09-03 11:30:00,SHORT,23415.5,23519.94375,0,0.408,97.46,true
6,2025-09-03 11:35:00,SHORT,23438.25,23500.94375,0,0.503,97.46,true
19,2025-09-03 11:35:00,SHORT,23438.25,23493.29025,0,0.503,97.46,true
5,2025-09-03 11:40:00,SHORT,23429.75,23475.94375,0,0.467,97.46,true
4,2025-09-03 11:50:00,SHORT,23429.5,23475.94375,0,0.466,97.46,true
3,2025-09-03 12:50:00,SHORT,23399.75,23443.69375,5,0.000,-89.89,false
3,2025-09-03 13:20:00,LONG,23435.25,23404.80625,0,0.003,-62.89,false
3,2025-09-03 13:40:00,SHORT,23378.25,23440.94375,0,0.251,97.46,true
