mode,pop_n,pct_backfill,category,slice_name,horizon,n,missing_horizon,baseline_mean,baseline_median,slice_mean,slice_median,slice_stddev,delta_mean,status
ALL,5094,87.3,setup_type,IB_LOW_FADE_SHORT,30,3,0,251.41,214.75,-36.67,-66.50,130.58,-288.08,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_SHORT,60,3,0,239.65,203.25,-40.17,-18.00,67.30,-279.82,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_SHORT,120,3,0,200.20,175.25,-173.92,-148.00,54.24,-374.11,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_LOW_FADE_SHORT,240,3,0,71.57,33.00,-153.92,-179.75,67.09,-225.48,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_LONG,15,6,0,255.89,220.50,45.29,41.13,29.91,-210.60,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_LONG,30,6,0,251.41,214.75,78.88,96.13,74.77,-172.54,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_LONG,60,6,0,239.65,203.25,68.54,91.25,135.97,-171.11,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_LONG,120,6,0,200.20,175.25,140.38,200.75,210.06,-59.82,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_HIGH_FADE_LONG,240,6,0,71.57,33.00,191.67,126.50,151.57,120.10,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_SESSION_MID_FADE_SHORT,15,1,0,255.89,220.50,91.25,91.25,undefined,-164.64,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_SESSION_MID_FADE_SHORT,30,1,0,251.41,214.75,29.50,29.50,undefined,-221.91,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_SESSION_MID_FADE_SHORT,60,1,0,239.65,203.25,39.50,39.50,undefined,-200.15,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_SESSION_MID_FADE_SHORT,120,1,0,200.20,175.25,24.50,24.50,undefined,-175.70,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_SESSION_MID_FADE_SHORT,240,1,0,71.57,33.00,24.75,24.75,undefined,-46.82,INSUFFICIENT
ALL,5094,87.3,setup_type,DAILY_OPEN_FADE_LONG,15,1,0,255.89,220.50,144.50,144.50,undefined,-111.39,INSUFFICIENT
ALL,5094,87.3,setup_type,DAILY_OPEN_FADE_LONG,30,1,0,251.41,214.75,123.00,123.00,undefined,-128.41,INSUFFICIENT
ALL,5094,87.3,setup_type,DAILY_OPEN_FADE_LONG,60,1,0,239.65,203.25,60.25,60.25,undefined,-179.40,INSUFFICIENT
ALL,5094,87.3,setup_type,DAILY_OPEN_FADE_LONG,120,1,0,200.20,175.25,-184.50,-184.50,undefined,-384.70,INSUFFICIENT
ALL,5094,87.3,setup_type,DAILY_OPEN_FADE_LONG,240,1,0,71.57,33.00,205.25,205.25,undefined,133.68,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_VAL_FADE_LONG,15,2,0,255.89,220.50,54.75,54.75,19.09,-201.14,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_VAL_FADE_LONG,30,2,0,251.41,214.75,-6.00,-6.00,101.47,-257.41,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_VAL_FADE_LONG,60,2,0,239.65,203.25,-13.50,-13.50,149.55,-253.15,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_VAL_FADE_LONG,120,2,0,200.20,175.25,51.00,51.00,82.38,-149.20,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_VAL_FADE_LONG,240,2,0,71.57,33.00,114.25,114.25,37.12,42.68,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_IB_LOW_FADE_SHORT,15,1,0,255.89,220.50,6.25,6.25,undefined,-249.64,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_IB_LOW_FADE_SHORT,30,1,0,251.41,214.75,13.50,13.50,undefined,-237.91,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_IB_LOW_FADE_SHORT,60,1,0,239.65,203.25,18.75,18.75,undefined,-220.90,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_IB_LOW_FADE_SHORT,120,1,0,200.20,175.25,12.75,12.75,undefined,-187.45,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_IB_LOW_FADE_SHORT,240,1,0,71.57,33.00,-12.75,-12.75,undefined,-84.32,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_POC_FADE_LONG,15,1,0,255.89,220.50,-94.00,-94.00,undefined,-349.89,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_POC_FADE_LONG,30,1,0,251.41,214.75,-85.00,-85.00,undefined,-336.41,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_POC_FADE_LONG,60,1,0,239.65,203.25,-185.75,-185.75,undefined,-425.40,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_POC_FADE_LONG,120,1,0,200.20,175.25,11.75,11.75,undefined,-188.45,INSUFFICIENT
ALL,5094,87.3,setup_type,3M_POC_FADE_LONG,240,1,0,71.57,33.00,69.00,69.00,undefined,-2.57,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_LONG,15,2,0,255.89,220.50,148.63,148.63,131.35,-107.27,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_LONG,30,2,0,251.41,214.75,95.50,95.50,196.22,-155.91,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_LONG,60,2,0,239.65,203.25,97.50,97.50,323.15,-142.15,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_LONG,120,2,0,200.20,175.25,96.88,96.88,157.15,-103.32,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_LONG,240,2,0,71.57,33.00,231.88,231.88,118.97,160.31,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_R1_FADE_SHORT,15,2,0,255.89,220.50,172.25,172.25,91.92,-83.64,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_R1_FADE_SHORT,30,2,0,251.41,214.75,137.00,137.00,149.91,-114.41,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_R1_FADE_SHORT,60,2,0,239.65,203.25,216.63,216.63,221.15,-23.03,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_R1_FADE_SHORT,120,2,0,200.20,175.25,215.38,215.38,251.55,15.18,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_R1_FADE_SHORT,240,2,0,71.57,33.00,170.38,170.38,214.08,98.81,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_LONG,15,2,0,255.89,220.50,25.88,25.88,27.75,-230.02,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_LONG,30,2,0,251.41,214.75,41.13,41.13,4.42,-210.29,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_LONG,60,2,0,239.65,203.25,19.25,19.25,76.37,-220.40,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_LONG,120,2,0,200.20,175.25,-60.50,-60.50,141.07,-260.70,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_CLOSE_FADE_LONG,240,2,0,71.57,33.00,-3.00,-3.00,189.86,-74.57,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_LONG,15,1,0,255.89,220.50,43.75,43.75,undefined,-212.14,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_LONG,30,1,0,251.41,214.75,68.75,68.75,undefined,-182.66,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_LONG,60,1,0,239.65,203.25,-103.50,-103.50,undefined,-343.15,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_LONG,120,1,0,200.20,175.25,-215.25,-215.25,undefined,-415.45,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_LONG,240,1,0,71.57,33.00,73.50,73.50,undefined,1.93,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_LONG,15,9,0,255.89,220.50,-5.08,0.00,32.93,-260.98,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_LONG,30,9,0,251.41,214.75,-16.78,-19.50,43.67,-268.19,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_LONG,60,9,0,239.65,203.25,-21.97,-17.50,88.88,-261.63,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_LONG,120,9,0,200.20,175.25,5.19,0.00,86.30,-195.00,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_HIGH_FADE_LONG,240,9,0,71.57,33.00,-45.44,-54.25,108.65,-117.01,INSUFFICIENT
ALL,5094,87.3,setup_type,OPEN_DRIVE_SHORT,15,22,0,255.89,220.50,69.56,54.13,79.05,-186.34,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_SHORT,30,22,0,251.41,214.75,94.91,78.25,101.26,-156.50,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_SHORT,60,22,0,239.65,203.25,68.77,61.38,110.14,-170.88,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_SHORT,120,22,0,200.20,175.25,78.67,62.25,142.47,-121.53,OK
ALL,5094,87.3,setup_type,OPEN_DRIVE_SHORT,240,22,0,71.57,33.00,83.75,80.50,164.33,12.18,OK
ALL,5094,87.3,setup_type,TRT_MAH_LONG,15,3,0,255.89,220.50,61.42,74.50,33.12,-194.48,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_LONG,30,3,0,251.41,214.75,75.50,106.75,60.07,-175.91,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_LONG,60,3,0,239.65,203.25,79.58,85.50,44.92,-160.07,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_LONG,120,3,0,200.20,175.25,-8.92,15.00,42.51,-209.11,INSUFFICIENT
ALL,5094,87.3,setup_type,TRT_MAH_LONG,240,3,0,71.57,33.00,25.42,41.00,101.03,-46.15,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_SHORT,15,1,0,255.89,220.50,131.00,131.00,undefined,-124.89,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_SHORT,30,1,0,251.41,214.75,207.25,207.25,undefined,-44.16,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_SHORT,60,1,0,239.65,203.25,228.25,228.25,undefined,-11.40,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_SHORT,120,1,0,200.20,175.25,313.50,313.50,undefined,113.30,INSUFFICIENT
ALL,5094,87.3,setup_type,BRACKET_BREAKOUT_SHORT,240,1,0,71.57,33.00,271.75,271.75,undefined,200.18,INSUFFICIENT
ALL,5094,87.3,setup_type,A_DOWN_WEAK,15,4,0,255.89,220.50,191.50,119.88,197.67,-64.39,INSUFFICIENT
ALL,5094,87.3,setup_type,A_DOWN_WEAK,30,4,0,251.41,214.75,145.50,105.13,181.43,-105.91,INSUFFICIENT
ALL,5094,87.3,setup_type,A_DOWN_WEAK,60,4,0,239.65,203.25,147.38,127.88,100.06,-92.28,INSUFFICIENT
ALL,5094,87.3,setup_type,A_DOWN_WEAK,120,4,0,200.20,175.25,140.81,144.00,57.68,-59.38,INSUFFICIENT
ALL,5094,87.3,setup_type,A_DOWN_WEAK,240,4,0,71.57,33.00,180.25,204.75,109.84,108.68,INSUFFICIENT
ALL,5094,87.3,setup_type,FAILED_AUCTION_SHORT,15,1,0,255.89,220.50,-43.50,-43.50,undefined,-299.39,INSUFFICIENT
ALL,5094,87.3,setup_type,FAILED_AUCTION_SHORT,30,1,0,251.41,214.75,-41.25,-41.25,undefined,-292.66,INSUFFICIENT
ALL,5094,87.3,setup_type,FAILED_AUCTION_SHORT,60,1,0,239.65,203.25,-28.50,-28.50,undefined,-268.15,INSUFFICIENT
ALL,5094,87.3,setup_type,FAILED_AUCTION_SHORT,120,1,0,200.20,175.25,20.50,20.50,undefined,-179.70,INSUFFICIENT
ALL,5094,87.3,setup_type,FAILED_AUCTION_SHORT,240,1,0,71.57,33.00,128.75,128.75,undefined,57.18,INSUFFICIENT
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_SHORT,15,155,0,255.89,220.50,3.04,6.25,84.16,-252.86,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_SHORT,30,155,0,251.41,214.75,5.29,5.50,75.03,-246.12,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_SHORT,60,155,0,239.65,203.25,10.52,7.00,95.52,-229.13,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_SHORT,120,155,0,200.20,175.25,12.19,6.25,84.38,-188.01,OK
ALL,5094,87.3,setup_type,GLOBEX_VWAP_FADE_SHORT,240,155,0,71.57,33.00,42.17,40.25,107.68,-29.40,OK
ALL,5094,87.3,setup_type,VWAP_RECLAIM_SHORT,15,1,0,255.89,220.50,83.50,83.50,undefined,-172.39,INSUFFICIENT
ALL,5094,87.3,setup_type,VWAP_RECLAIM_SHORT,30,1,0,251.41,214.75,92.75,92.75,undefined,-158.66,INSUFFICIENT
ALL,5094,87.3,setup_type,VWAP_RECLAIM_SHORT,60,1,0,239.65,203.25,119.00,119.00,undefined,-120.65,INSUFFICIENT
ALL,5094,87.3,setup_type,VWAP_RECLAIM_SHORT,120,1,0,200.20,175.25,114.25,114.25,undefined,-85.95,INSUFFICIENT
ALL,5094,87.3,setup_type,VWAP_RECLAIM_SHORT,240,1,0,71.57,33.00,70.75,70.75,undefined,-0.82,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_SHORT,15,14,0,255.89,220.50,36.39,40.88,39.77,-219.50,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_SHORT,30,14,0,251.41,214.75,48.52,62.38,63.60,-202.89,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_SHORT,60,14,0,239.65,203.25,66.16,45.88,118.82,-173.49,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_SHORT,120,14,0,200.20,175.25,48.39,35.13,135.18,-151.80,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_SHORT,240,14,0,71.57,33.00,83.68,71.88,239.62,12.11,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_LONG,15,3,0,255.89,220.50,34.50,47.50,65.97,-221.39,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_LONG,30,3,0,251.41,214.75,53.25,60.00,30.69,-198.16,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_LONG,60,3,0,239.65,203.25,13.50,55.25,81.35,-226.15,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_LONG,120,3,0,200.20,175.25,17.00,65.75,88.80,-183.20,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_VAH_FADE_LONG,240,3,0,71.57,33.00,-50.25,-73.50,122.29,-121.82,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S2_FADE_LONG,15,2,0,255.89,220.50,139.13,139.13,192.51,-116.77,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S2_FADE_LONG,30,2,0,251.41,214.75,189.88,189.88,121.09,-61.54,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S2_FADE_LONG,60,2,0,239.65,203.25,218.38,218.38,224.68,-21.28,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S2_FADE_LONG,120,2,0,200.20,175.25,162.63,162.63,200.29,-37.57,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S2_FADE_LONG,240,2,0,71.57,33.00,81.25,81.25,258.80,9.68,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_SHORT,15,7,0,255.89,220.50,38.68,42.25,70.62,-217.22,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_SHORT,30,7,0,251.41,214.75,17.18,19.00,107.12,-234.23,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_SHORT,60,7,0,239.65,203.25,8.93,17.00,128.19,-230.73,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_SHORT,120,7,0,200.20,175.25,-30.43,-38.75,131.28,-230.63,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_LOW_FADE_SHORT,240,7,0,71.57,33.00,-7.50,14.50,132.50,-79.07,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_LONG,15,4,0,255.89,220.50,43.56,31.38,111.35,-212.33,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_LONG,30,4,0,251.41,214.75,94.25,75.13,77.77,-157.16,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_LONG,60,4,0,239.65,203.25,111.00,113.25,79.65,-128.65,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_LONG,120,4,0,200.20,175.25,49.56,35.13,92.98,-150.63,INSUFFICIENT
ALL,5094,87.3,setup_type,IB_MID_SCALP_FADE_LONG,240,4,0,71.57,33.00,-88.50,-153.00,184.55,-160.07,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_LONG,15,12,0,255.89,220.50,32.75,35.25,83.82,-223.14,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_LONG,30,12,0,251.41,214.75,40.67,52.13,114.43,-210.75,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_LONG,60,12,0,239.65,203.25,-12.33,10.75,132.58,-251.99,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_LONG,120,12,0,200.20,175.25,3.85,43.88,164.92,-196.34,INSUFFICIENT
ALL,5094,87.3,setup_type,OR5_MID_FADE_LONG,240,12,0,71.57,33.00,44.67,79.63,161.21,-26.90,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_LONG,15,11,0,255.89,220.50,53.05,41.00,35.13,-202.85,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_LONG,30,11,0,251.41,214.75,48.43,39.75,37.17,-202.98,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_LONG,60,11,0,239.65,203.25,59.43,44.75,47.89,-180.22,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_LONG,120,11,0,200.20,175.25,63.32,67.00,104.44,-136.88,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_POC_FADE_LONG,240,11,0,71.57,33.00,72.09,63.00,147.67,0.53,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_LOW_FADE_LONG,15,2,0,255.89,220.50,-28.38,-28.38,49.67,-284.27,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_LOW_FADE_LONG,30,2,0,251.41,214.75,-0.63,-0.63,56.04,-252.04,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_LOW_FADE_LONG,60,2,0,239.65,203.25,-25.38,-25.38,172.00,-265.03,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_LOW_FADE_LONG,120,2,0,200.20,175.25,121.50,121.50,133.29,-78.70,INSUFFICIENT
ALL,5094,87.3,setup_type,PD_LOW_FADE_LONG,240,2,0,71.57,33.00,-125.63,-125.63,0.18,-197.19,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_POC_FADE_LONG,15,2,0,255.89,220.50,53.75,53.75,52.33,-202.14,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_POC_FADE_LONG,30,2,0,251.41,214.75,48.25,48.25,1.77,-203.16,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_POC_FADE_LONG,60,2,0,239.65,203.25,-13.88,-13.88,98.46,-253.53,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_POC_FADE_LONG,120,2,0,200.20,175.25,-22.25,-22.25,86.62,-222.45,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_POC_FADE_LONG,240,2,0,71.57,33.00,-95.38,-95.38,165.64,-166.94,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_LONG,15,3,0,255.89,220.50,59.92,61.00,33.64,-195.98,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_LONG,30,3,0,251.41,214.75,38.58,30.75,23.74,-212.83,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_LONG,60,3,0,239.65,203.25,22.83,8.00,57.70,-216.82,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_LONG,120,3,0,200.20,175.25,53.42,68.00,64.87,-146.78,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_LONG,240,3,0,71.57,33.00,12.00,48.25,82.34,-59.57,INSUFFICIENT
ALL,5094,87.3,setup_type,PM_LOW_FADE_SHORT,15,2,0,255.89,220.50,109.13,109.13,69.12,-146.77,INSUFFICIENT
ALL,5094,87.3,setup_type,PM_LOW_FADE_SHORT,30,2,0,251.41,214.75,142.25,142.25,88.03,-109.16,INSUFFICIENT
ALL,5094,87.3,setup_type,PM_LOW_FADE_SHORT,60,2,0,239.65,203.25,112.50,112.50,34.65,-127.15,INSUFFICIENT
ALL,5094,87.3,setup_type,PM_LOW_FADE_SHORT,120,2,0,200.20,175.25,125.00,125.00,56.57,-75.20,INSUFFICIENT
ALL,5094,87.3,setup_type,PM_LOW_FADE_SHORT,240,2,0,71.57,33.00,145.50,145.50,109.25,73.93,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_LOW_FADE_SHORT,15,1,0,255.89,220.50,71.75,71.75,undefined,-184.14,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_LOW_FADE_SHORT,30,1,0,251.41,214.75,70.50,70.50,undefined,-180.91,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_LOW_FADE_SHORT,60,1,0,239.65,203.25,73.50,73.50,undefined,-166.15,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_LOW_FADE_SHORT,120,1,0,200.20,175.25,110.00,110.00,undefined,-90.20,INSUFFICIENT
ALL,5094,87.3,setup_type,PW_LOW_FADE_SHORT,240,1,0,71.57,33.00,219.25,219.25,undefined,147.68,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_SHORT,15,3,0,255.89,220.50,94.75,91.25,45.85,-161.14,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_SHORT,30,3,0,251.41,214.75,90.25,56.50,62.17,-161.16,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_SHORT,60,3,0,239.65,203.25,97.83,115.00,42.44,-141.82,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_SHORT,120,3,0,200.20,175.25,91.42,101.50,25.19,-108.78,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S2_FADE_SHORT,240,3,0,71.57,33.00,151.50,187.00,63.88,79.93,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_SHORT,15,5,0,255.89,220.50,91.20,66.25,82.59,-164.69,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_SHORT,30,5,0,251.41,214.75,91.45,91.25,33.64,-159.96,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_SHORT,60,5,0,239.65,203.25,57.95,38.75,28.77,-181.70,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_SHORT,120,5,0,200.20,175.25,82.65,96.00,30.83,-117.55,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S3_FADE_SHORT,240,5,0,71.57,33.00,70.30,126.75,144.74,-1.27,INSUFFICIENT
ALL,5094,87.3,setup_type,WEEKLY_VWAP_FADE_SHORT,15,1,0,255.89,220.50,49.00,49.00,undefined,-206.89,INSUFFICIENT
ALL,5094,87.3,setup_type,WEEKLY_VWAP_FADE_SHORT,30,1,0,251.41,214.75,54.75,54.75,undefined,-196.66,INSUFFICIENT
ALL,5094,87.3,setup_type,WEEKLY_VWAP_FADE_SHORT,60,1,0,239.65,203.25,47.75,47.75,undefined,-191.90,INSUFFICIENT
ALL,5094,87.3,setup_type,WEEKLY_VWAP_FADE_SHORT,120,1,0,200.20,175.25,108.25,108.25,undefined,-91.95,INSUFFICIENT
ALL,5094,87.3,setup_type,WEEKLY_VWAP_FADE_SHORT,240,1,0,71.57,33.00,185.25,185.25,undefined,113.68,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_LONG,15,1,0,255.89,220.50,141.75,141.75,undefined,-114.14,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_LONG,30,1,0,251.41,214.75,214.00,214.00,undefined,-37.41,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_LONG,60,1,0,239.65,203.25,161.75,161.75,undefined,-77.90,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_LONG,120,1,0,200.20,175.25,140.25,140.25,undefined,-59.95,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_LONG,240,1,0,71.57,33.00,143.25,143.25,undefined,71.68,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S1_FADE_SHORT,15,1,0,255.89,220.50,69.50,69.50,undefined,-186.39,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S1_FADE_SHORT,30,1,0,251.41,214.75,-90.50,-90.50,undefined,-341.91,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S1_FADE_SHORT,60,1,0,239.65,203.25,-155.50,-155.50,undefined,-395.15,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S1_FADE_SHORT,120,1,0,200.20,175.25,-175.75,-175.75,undefined,-375.95,INSUFFICIENT
ALL,5094,87.3,setup_type,FLOOR_S1_FADE_SHORT,240,1,0,71.57,33.00,-80.00,-80.00,undefined,-151.57,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_LONG,15,1,0,255.89,220.50,167.50,167.50,undefined,-88.39,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_LONG,30,1,0,251.41,214.75,189.75,189.75,undefined,-61.66,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_LONG,60,1,0,239.65,203.25,197.25,197.25,undefined,-42.40,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_LONG,120,1,0,200.20,175.25,168.25,168.25,undefined,-31.95,INSUFFICIENT
ALL,5094,87.3,setup_type,CAM_S4_FADE_LONG,240,1,0,71.57,33.00,173.50,173.50,undefined,101.93,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_SHORT,15,3,0,255.89,220.50,22.00,14.00,37.15,-233.89,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_SHORT,30,3,0,251.41,214.75,52.58,34.00,179.10,-198.83,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_SHORT,60,3,0,239.65,203.25,65.83,187.00,226.96,-173.82,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_SHORT,120,3,0,200.20,175.25,37.92,110.25,225.86,-162.28,INSUFFICIENT
ALL,5094,87.3,setup_type,ONL_FADE_SHORT,240,3,0,71.57,33.00,107.75,224.50,207.87,36.18,INSUFFICIENT
ALL,5094,87.3,setup_type,WS1_FADE_SHORT_OVERNIGHT,15,2,0,255.89,220.50,77.25,77.25,68.24,-178.64,INSUFFICIENT
