date,session,swing_width,type,confirmation_window_hours,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2025-09-17,GLOBEX,3,HIGH,1,3,0.58,-0.7993,-0.5230,-1.2672,-0.4841,-1.0780,-1.3104,-4.1397,1,24327.75,24316.75,24337.97,24365.86,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-09-30,GLOBEX,3,LOW,1,2,17.37,-1.3890,-1.1032,-1.0013,-0.4720,-1.1759,-1.4688,-4.1180,1,25035.50,25045.25,25026.15,25000.61,1,1,0,0,0,9.35,34.89,16.71,67.78
2025-10-07,RTH,3,HIGH,1,2,0.73,-1.4051,-1.0436,-1.0013,-0.4840,-1.1786,-1.4526,-4.1165,1,25285.25,25270.00,25294.55,25319.94,0,0,1,1,0,-15.25,-15.25,-32.50,-32.50
2025-09-16,RTH,3,HIGH,1,2,2.83,-1.1613,-1.1824,-1.0013,-0.4825,-1.1381,-1.4905,-4.1124,1,24305.50,24302.00,24316.30,24345.79,1,0,0,1,0,10.80,-3.50,19.60,-9.00
2025-11-07,GLOBEX,3,LOW,1,3,175.08,-0.5741,-0.9669,-1.2672,-0.3576,-1.0406,-1.4316,-4.0969,1,25175.50,25184.50,25159.00,25113.96,1,0,0,1,0,16.50,-9.00,30.99,-20.00
2025-11-07,GLOBEX,5,LOW,1,3,193.63,-0.5741,-0.9858,-1.2672,-0.3441,-1.0406,-1.4368,-4.0887,1,25175.50,25184.50,25159.00,25113.96,1,0,0,1,0,16.50,-9.00,30.99,-20.00
2026-06-21,RTH,3,LOW,1,3,1.58,0.1587,-0.9130,-1.2672,-0.4834,-0.9189,-1.4169,-4.0864,1,30632.00,30648.75,30607.86,30541.95,0,0,1,1,0,-16.75,-16.75,-35.50,-35.50
2026-06-21,RTH,5,LOW,1,3,1.75,0.1587,-0.8392,-1.2672,-0.4833,-0.9189,-1.3967,-4.0661,1,30632.00,30648.75,30607.86,30541.95,0,0,1,1,0,-16.75,-16.75,-35.50,-35.50
2025-09-17,GLOBEX,5,LOW,1,2,7.00,-0.6003,-1.3446,-1.0013,-0.4795,-1.0449,-1.5348,-4.0605,1,24241.25,24270.25,24231.03,24203.14,1,0,0,1,0,10.22,-29.00,18.43,-60.00
2025-10-19,RTH,3,HIGH,1,2,2.85,-1.1311,-0.9955,-1.0013,-0.4825,-1.1331,-1.4394,-4.0563,1,25207.75,25202.50,25221.63,25259.53,1,1,0,0,0,13.88,51.78,25.76,101.56
2025-11-19,GLOBEX,3,HIGH,1,3,95.97,-0.7096,-0.5235,-1.2672,-0.4150,-1.0631,-1.3105,-4.0557,1,25108.75,25085.25,25125.00,25169.37,1,1,0,0,0,16.25,60.62,30.50,119.24
2025-10-21,RTH,3,LOW,1,2,1.13,-1.0989,-0.9676,-1.0013,-0.4837,-1.1277,-1.4318,-4.0446,1,25524.00,25539.50,25510.02,25471.87,1,0,0,1,0,13.98,-15.50,25.95,-33.00
2025-09-17,GLOBEX,5,HIGH,1,3,7.08,-0.7993,-0.1578,-1.2672,-0.4794,-1.0780,-1.2107,-4.0352,1,24327.75,24316.75,24337.97,24365.86,1,1,0,0,0,10.22,38.11,18.43,74.23
2025-09-10,GLOBEX,5,LOW,1,3,2.17,-0.5559,-0.2651,-1.2672,-0.4830,-1.0375,-1.2399,-4.0277,1,23867.00,23879.50,23856.25,23826.90,1,1,0,0,0,10.75,40.10,19.50,78.20
