Config,K,RejectFrac,FlatBaseN,FlatBaseRate,SigN,SigRate,SigTMBaseRate,SameSelN,SameSelRate,SameSelTMBaseRate,Z_SigVsFlatBase,Z_SigVsTMBase,Z_SigVsSame,ThirdsStable
PD_VAH_TO_PD_VAL_RTH,20,0.02,411,50.9%,67,38.8%,37.6%,171,46.8%,39.7%,-1.83,0.21,-1.11,NO
PD_VAH_TO_PD_VAL_RTH,20,0.05,411,50.9%,91,42.9%,37.3%,147,45.6%,40.2%,-1.38,1.10,-0.41,YES_POS
PD_VAH_TO_PD_VAL_RTH,20,0.1,411,50.9%,132,40.9%,38.1%,106,49.1%,40.3%,-1.99,0.66,-1.26,YES_POS
PD_VAL_TO_PD_VAH_RTH,3,0.02,411,58.4%,121,49.6%,48.0%,88,50.0%,49.0%,-1.72,0.35,-0.06,NO
PD_VAL_TO_PD_VAH_RTH,3,0.05,411,58.4%,152,48.7%,47.8%,57,52.6%,50.0%,-2.06,0.22,-0.51,NO
PD_VAL_TO_PD_VAH_RTH,3,0.1,411,58.4%,172,49.4%,48.0%,37,51.4%,50.6%,-1.99,0.38,-0.21,NO
PD_VAL_TO_PD_VAH_RTH,5,0.02,411,58.4%,96,51.0%,47.1%,113,46.9%,48.7%,-1.31,0.78,0.60,NO
PD_VAL_TO_PD_VAH_RTH,5,0.05,411,58.4%,125,49.6%,46.9%,84,47.6%,49.4%,-1.74,0.60,0.28,NO
PD_VAL_TO_PD_VAH_RTH,5,0.1,411,58.4%,158,50.0%,47.5%,51,45.1%,49.4%,-1.81,0.64,0.61,NO
PD_VAL_TO_PD_VAH_RTH,10,0.02,411,58.4%,78,52.6%,45.6%,129,46.5%,48.3%,-0.95,1.23,0.84,YES_POS
PD_VAL_TO_PD_VAH_RTH,10,0.05,411,58.4%,100,53.0%,45.6%,107,44.9%,48.9%,-0.98,1.49,1.17,YES_POS
PD_VAL_TO_PD_VAH_RTH,10,0.1,411,58.4%,127,54.3%,46.4%,80,40.0%,48.7%,-0.81,1.79,2.01,YES_POS
PD_VAL_TO_PD_VAH_RTH,20,0.02,411,58.4%,58,44.8%,43.2%,148,48.6%,45.9%,-1.95,0.25,-0.49,NO
PD_VAL_TO_PD_VAH_RTH,20,0.05,411,58.4%,78,47.4%,44.0%,128,47.7%,45.9%,-1.79,0.62,-0.03,NO
PD_VAL_TO_PD_VAH_RTH,20,0.1,411,58.4%,100,48.0%,43.9%,106,47.2%,46.4%,-1.88,0.83,0.12,NO
IB_HIGH_TO_IB_LOW_RTH,3,0.02,392,62.0%,190,33.2%,53.5%,73,26.0%,55.8%,-6.53,-5.61,1.12,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,3,0.05,392,62.0%,230,31.3%,54.0%,33,30.3%,55.2%,-7.39,-6.89,0.12,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,3,0.1,392,62.0%,256,31.6%,54.3%,7,14.3%,47.1%,-7.55,-7.28,0.98,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,5,0.02,392,62.0%,166,35.5%,53.0%,97,23.7%,54.1%,-5.73,-4.50,2.00,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,5,0.05,392,62.0%,219,32.9%,53.1%,44,22.7%,54.8%,-6.91,-6.00,1.33,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,5,0.1,392,62.0%,248,32.3%,53.4%,15,13.3%,52.4%,-7.33,-6.69,1.54,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,10,0.02,392,62.0%,131,40.5%,51.7%,131,22.1%,53.2%,-4.30,-2.59,3.20,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,10,0.05,392,62.0%,182,36.3%,51.9%,80,20.0%,53.7%,-5.75,-4.23,2.61,YES_NEG
IB_HIGH_TO_IB_LOW_RTH,10,0.1,392,62.0%,229,32.3%,52.4%,33,24.2%,53.1%,-7.14,-6.08,0.93,YES_NEG
