setup_type,condition,group,n,wr,ev,distinct_dates,max_date_pct
OR5_HIGH_FADE_LONG,Norm_Distance,mid,8,0.500,-6.81,8,12.5
OR5_HIGH_FADE_LONG,Norm_Distance,high,4,0.500,3.00,4,25.0
OR5_HIGH_FADE_SHORT,Norm_Distance,low,148,0.459,4.92,148,0.7
OR5_HIGH_FADE_SHORT,Norm_Distance,mid,109,0.477,8.06,109,0.9
OR5_HIGH_FADE_SHORT,Norm_Distance,high,68,0.353,-13.63,68,1.5
OR5_LOW_FADE_LONG,Norm_Distance,low,123,0.520,3.39,123,0.8
OR5_LOW_FADE_LONG,Norm_Distance,mid,136,0.529,4.77,136,0.7
OR5_LOW_FADE_LONG,Norm_Distance,high,76,0.474,-4.32,76,1.3
OR5_LOW_FADE_SHORT,Norm_Distance,low,8,0.500,7.00,8,12.5
OR5_LOW_FADE_SHORT,Norm_Distance,mid,9,0.556,8.22,9,11.1
OR5_LOW_FADE_SHORT,Norm_Distance,high,9,0.333,-20.67,9,11.1
OR5_MID_FADE_LONG,Norm_Distance,low,114,0.439,-5.77,114,0.9
OR5_MID_FADE_LONG,Norm_Distance,mid,67,0.567,9.78,67,1.5
OR5_MID_FADE_LONG,Norm_Distance,high,17,0.412,-9.65,17,5.9
OR5_MID_FADE_SHORT,Norm_Distance,low,91,0.484,9.23,91,1.1
OR5_MID_FADE_SHORT,Norm_Distance,mid,69,0.420,-2.41,69,1.4
OR5_MID_FADE_SHORT,Norm_Distance,high,15,0.467,6.40,15,6.7
POOLED_OR_FAMILY,OR5_Volume,high,549,0.497,5.48,217,0.5
POOLED_OR_FAMILY,OR5_Volume,low,570,0.458,-0.77,212,0.5
OR5_HIGH_FADE_LONG,OR5_Volume,high,11,0.364,-15.82,11,9.1
OR5_HIGH_FADE_LONG,OR5_Volume,low,15,0.467,-4.17,15,6.7
OR5_HIGH_FADE_SHORT,OR5_Volume,high,168,0.464,6.34,168,0.6
OR5_HIGH_FADE_SHORT,OR5_Volume,low,168,0.435,0.38,168,0.6
OR5_LOW_FADE_LONG,OR5_Volume,high,169,0.521,3.11,169,0.6
OR5_LOW_FADE_LONG,OR5_Volume,low,173,0.509,1.71,173,0.6
OR5_LOW_FADE_SHORT,OR5_Volume,high,14,0.286,-28.57,14,7.1
OR5_LOW_FADE_SHORT,OR5_Volume,low,15,0.667,29.87,15,6.7
OR5_MID_FADE_LONG,OR5_Volume,high,105,0.533,6.40,105,1.0
OR5_MID_FADE_LONG,OR5_Volume,low,98,0.418,-9.13,98,1.0
OR5_MID_FADE_SHORT,OR5_Volume,high,82,0.524,16.10,82,1.2
OR5_MID_FADE_SHORT,OR5_Volume,low,101,0.416,-2.83,101,1.0
