group,targetLevel,targetAtr,entryDate,month,type,ev,win,exitReason,pnlPts
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,HIGH,-31.668499999999767,0,STOP,-14.834249999999884
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,LOW,56.151833631483896,1,TARGET,29.075916815741948
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,HIGH,56.151833631483896,1,TARGET,29.075916815741948
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,LOW,56.151833631483896,1,TARGET,29.075916815741948
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,HIGH,56.151833631483896,1,TARGET,29.075916815741948
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,HIGH,-75.16849999999977,0,STOP,-36.584249999999884
3_GLOBEX,p50,0.13416815742397137,2025-09-17,2025-09,LOW,56.151833631483896,1,TARGET,29.075916815741948
3_GLOBEX,p50,0.13416815742397137,2025-09-18,2025-09,LOW,-84.98249999999825,0,STOP,-41.49124999999913
3_GLOBEX,p50,0.13416815742397137,2025-09-30,2025-09,LOW,-91.93499999999767,0,STOP,-44.967499999998836
3_GLOBEX,p50,0.13416815742397137,2025-09-30,2025-09,HIGH,51.231216457963455,1,TARGET,26.615608228981728
3_GLOBEX,p50,0.13416815742397137,2025-10-02,2025-10,LOW,51.231216457963455,1,TARGET,26.615608228981728
3_GLOBEX,p50,0.13416815742397137,2025-10-02,2025-10,HIGH,52.908318425761536,1,TARGET,27.454159212880768
3_GLOBEX,p50,0.13416815742397137,2025-10-06,2025-10,LOW,52.797629695887736,1,TARGET,27.398814847943868
3_GLOBEX,p50,0.13416815742397137,2025-10-08,2025-10,HIGH,-87.80750000000262,0,STOP,-42.90375000000131
3_GLOBEX,p50,0.13416815742397137,2025-10-08,2025-10,LOW,53.73009838998405,1,TARGET,27.865049194992025
3_GLOBEX,p50,0.13416815742397137,2025-10-09,2025-10,HIGH,53.505366726298234,1,TARGET,27.752683363149117
3_GLOBEX,p50,0.13416815742397137,2025-10-10,2025-10,LOW,52.81775491950248,1,TARGET,27.40887745975124
3_GLOBEX,p50,0.13416815742397137,2025-10-13,2025-10,HIGH,62.67576028622716,1,TARGET,32.33788014311358
3_GLOBEX,p50,0.13416815742397137,2025-10-13,2025-10,HIGH,-201.64100000000326,0,STOP,-99.82050000000163
3_GLOBEX,p50,0.13416815742397137,2025-10-14,2025-10,LOW,-150.30099999999948,0,STOP,-74.15049999999974
3_GLOBEX,p50,0.13416815742397137,2025-10-15,2025-10,LOW,-167.08600000000297,0,STOP,-82.54300000000148
3_GLOBEX,p50,0.13416815742397137,2025-10-16,2025-10,LOW,65.66100178891065,1,TARGET,33.83050089445533
3_GLOBEX,p50,0.13416815742397137,2025-10-16,2025-10,LOW,69.42777280858718,1,TARGET,35.71388640429359
3_GLOBEX,p50,0.13416815742397137,2025-10-16,2025-10,HIGH,-87.64749999999913,0,STOP,-42.82374999999956
3_GLOBEX,p50,0.13416815742397137,2025-10-16,2025-10,HIGH,69.42777280858718,1,TARGET,35.71388640429359
3_GLOBEX,p50,0.13416815742397137,2025-10-20,2025-10,HIGH,-156.77649999999994,0,STOP,-77.38824999999997
3_GLOBEX,p50,0.13416815742397137,2025-10-21,2025-10,LOW,-82.85700000000361,0,STOP,-40.428500000001804
3_GLOBEX,p50,0.13416815742397137,2025-10-22,2025-10,HIGH,77.49463327370177,1,TARGET,39.74731663685088
3_GLOBEX,p50,0.13416815742397137,2025-10-23,2025-10,LOW,-95.6140000000014,0,STOP,-46.8070000000007
3_GLOBEX,p50,0.13416815742397137,2025-10-23,2025-10,LOW,82.61985688730056,1,TARGET,42.30992844365028
3_GLOBEX,p50,0.13416815742397137,2025-10-27,2025-10,HIGH,-45.8550000000032,0,STOP,-21.9275000000016
3_GLOBEX,p50,0.13416815742397137,2025-10-28,2025-10,LOW,80.51006261180737,1,TARGET,41.255031305903685
