swing_width,type,pivot_date,pivot_session,confluence_bucket,break_date,break_month,touchVolZ,breakVolZ,mfe_pts,mfe_atr
3,LOW,2026-01-02,GLOBEX,0,2026-01-02,2026-01,1.6163,0.5017,410.7500,1.5905
3,LOW,2026-01-02,GLOBEX,1,2026-01-02,2026-01,-0.1016,-0.1468,410.7500,1.5905
3,LOW,2026-01-02,GLOBEX,1,2026-01-02,2026-01,2.6478,0.0049,410.7500,1.5905
3,LOW,2026-01-02,GLOBEX,0,2026-01-02,2026-01,0.2305,-0.1027,410.7500,1.5905
5,LOW,2026-01-02,GLOBEX,1,2026-01-02,2026-01,-0.1016,0.2701,410.7500,1.5905
5,LOW,2026-01-02,GLOBEX,1,2026-01-02,2026-01,2.6478,-0.1697,410.7500,1.5905
5,LOW,2026-01-02,GLOBEX,0,2026-01-02,2026-01,0.2305,-0.1075,410.7500,1.5905
3,HIGH,2025-10-07,GLOBEX,0,2025-10-07,2025-10,-0.6448,-0.7149,314.0000,1.5921
5,HIGH,2025-10-07,GLOBEX,0,2025-10-07,2025-10,-0.6448,-0.5791,314.0000,1.5921
3,LOW,2025-10-03,RTH,2+,2025-10-03,2025-10,-1.6083,-1.1351,324.5000,1.5921
3,LOW,2025-11-04,GLOBEX,1,2025-11-04,2025-11,-0.7181,-0.5745,518.0000,1.5923
3,HIGH,2026-03-04,GLOBEX,1,2026-03-04,2026-03,1.3285,0.9476,645.2500,1.5928
3,LOW,2025-10-30,GLOBEX,0,2025-10-30,2025-10,-0.7915,-0.6803,491.5000,1.5929
3,LOW,2025-10-22,GLOBEX,2+,2025-10-22,2025-10,-0.9906,-0.7630,472.0000,1.5932
3,LOW,2026-06-25,GLOBEX,2+,2026-06-25,2026-06,1.0914,-0.4347,886.5000,1.5933
3,LOW,2026-06-22,RTH,1,2026-06-22,2026-06,-0.7182,-0.7008,816.2500,1.5942
3,HIGH,2026-09-03,GLOBEX,1,2026-09-03,2026-09,-0.1751,0.3625,445.7500,1.5946
3,HIGH,2026-09-03,GLOBEX,1,2026-09-03,2026-09,0.3814,-0.0523,445.7500,1.5946
3,HIGH,2026-09-03,GLOBEX,1,2026-09-03,2026-09,0.8506,-0.0794,445.7500,1.5946
5,HIGH,2026-09-03,GLOBEX,1,2026-09-03,2026-09,-0.1751,1.0481,445.7500,1.5946
5,HIGH,2026-09-03,GLOBEX,1,2026-09-03,2026-09,0.3814,-0.2329,445.7500,1.5946
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.0880,-0.6228,713.7500,1.5947
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.4975,-0.8255,713.7500,1.5947
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.7081,-0.6207,713.7500,1.5947
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.0880,-0.6425,713.7500,1.5947
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.4975,-0.8116,713.7500,1.5947
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.7081,-0.6690,713.7500,1.5947
3,HIGH,2025-10-01,GLOBEX,0,2025-10-01,2025-10,-0.7586,-0.7788,317.2500,1.5948
3,HIGH,2026-02-05,GLOBEX,1,2026-02-06,2026-02,0.8419,1.6294,570.7500,1.5953
5,HIGH,2026-02-05,GLOBEX,1,2026-02-06,2026-02,0.8419,1.3922,570.7500,1.5953
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.3624,0.6783,406.5000,1.5954
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,2.0149,-0.3510,406.5000,1.5954
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,-0.1275,-0.3089,406.5000,1.5954
3,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.4454,-0.1175,406.5000,1.5954
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.3624,0.7334,406.5000,1.5954
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,2.0149,-0.5353,406.5000,1.5954
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,-0.1275,-0.3131,406.5000,1.5954
5,LOW,2026-01-16,GLOBEX,0,2026-01-16,2026-01,0.4454,-0.1063,406.5000,1.5954
3,LOW,2026-07-29,GLOBEX,0,2026-07-29,2026-07,-0.9953,-0.1648,697.5000,1.5957
3,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.4368,-0.4620,714.2500,1.5958
5,LOW,2026-07-27,GLOBEX,0,2026-07-27,2026-07,-0.4368,-0.3913,714.2500,1.5958
3,LOW,2025-11-06,GLOBEX,0,2025-11-06,2025-11,-0.5439,-0.6818,535.5000,1.5961
3,LOW,2025-10-29,RTH,0,2025-10-30,2025-10,-1.4268,-1.0786,492.5000,1.5962
3,LOW,2025-10-30,GLOBEX,1,2025-10-30,2025-10,-0.8716,-0.7872,492.5000,1.5962
5,LOW,2025-10-29,RTH,0,2025-10-30,2025-10,-1.4268,-1.0427,492.5000,1.5962
5,LOW,2025-10-30,GLOBEX,1,2025-10-30,2025-10,-0.8716,-0.7775,492.5000,1.5962
3,LOW,2026-03-06,RTH,0,2026-03-06,2026-03,1.3863,-0.3771,631.2500,1.5966
5,LOW,2026-03-06,RTH,0,2026-03-06,2026-03,1.3863,-0.0519,631.2500,1.5966
3,LOW,2025-10-13,GLOBEX,1,2025-10-13,2025-10,-0.8351,-0.7648,385.0000,1.5973
3,LOW,2026-06-25,GLOBEX,0,2026-06-25,2026-06,-0.4447,-0.3005,889.0000,1.5978
3,LOW,2026-06-25,GLOBEX,0,2026-06-25,2026-06,-0.1202,0.3012,889.0000,1.5978
5,LOW,2026-06-25,GLOBEX,0,2026-06-25,2026-06,-0.4447,-0.2971,889.0000,1.5978
5,LOW,2026-06-25,GLOBEX,0,2026-06-25,2026-06,-0.1202,0.1939,889.0000,1.5978
3,LOW,2026-02-05,GLOBEX,0,2026-02-05,2026-02,4.6517,3.8088,557.0000,1.5979
5,LOW,2026-02-05,GLOBEX,0,2026-02-05,2026-02,4.6517,4.1006,557.0000,1.5979
3,LOW,2025-10-27,GLOBEX,1,2025-11-04,2025-11,-0.8003,-0.7274,520.0000,1.5984
3,LOW,2025-11-04,GLOBEX,1,2025-11-04,2025-11,-0.7534,-0.7905,520.0000,1.5984
5,LOW,2025-10-27,GLOBEX,1,2025-11-04,2025-11,-0.8003,-0.7353,520.0000,1.5984
5,LOW,2025-11-04,GLOBEX,1,2025-11-04,2025-11,-0.7534,-0.6987,520.0000,1.5984
3,LOW,2026-01-13,GLOBEX,1,2026-01-13,2026-01,0.2892,-0.4465,429.0000,1.5988
5,LOW,2026-01-13,GLOBEX,1,2026-01-13,2026-01,0.2892,-0.1316,429.0000,1.5988
3,HIGH,2026-06-08,GLOBEX,1,2026-06-08,2026-06,2.3184,0.7670,643.2500,1.5988
5,HIGH,2026-06-08,GLOBEX,1,2026-06-08,2026-06,2.3184,1.0282,643.2500,1.5988
3,LOW,2025-11-04,GLOBEX,1,2025-11-04,2025-11,-0.7955,-0.7726,520.2500,1.5992
3,LOW,2026-02-04,GLOBEX,1,2026-02-04,2026-02,0.4460,-0.3621,527.0000,1.5993
3,LOW,2026-02-04,GLOBEX,0,2026-02-04,2026-02,0.1193,0.2522,527.0000,1.5993
5,LOW,2026-02-04,GLOBEX,1,2026-02-04,2026-02,0.4460,-0.3093,527.0000,1.5993
5,LOW,2026-02-04,GLOBEX,0,2026-02-04,2026-02,0.1193,0.7280,527.0000,1.5993
3,HIGH,2026-07-29,GLOBEX,0,2026-07-29,2026-07,1.3246,0.2559,699.2500,1.5997
5,HIGH,2026-07-29,GLOBEX,0,2026-07-29,2026-07,1.3246,0.1004,699.2500,1.5997
3,LOW,2026-03-06,GLOBEX,1,2026-03-06,2026-03,0.7136,0.0758,632.5000,1.5998
5,LOW,2026-03-06,GLOBEX,1,2026-03-06,2026-03,0.7136,0.0687,632.5000,1.5998
3,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,1.0181,-0.3514,498.5000,1.6008
5,HIGH,2026-05-08,GLOBEX,2+,2026-05-08,2026-05,1.0181,1.0551,498.5000,1.6008
3,HIGH,2026-02-06,GLOBEX,0,2026-02-06,2026-02,0.5438,0.3899,572.7500,1.6009
5,HIGH,2026-02-06,GLOBEX,0,2026-02-06,2026-02,0.5438,0.6055,572.7500,1.6009
3,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,-0.3322,-0.3326,505.0000,1.6010
3,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,0.7025,-0.2672,505.0000,1.6010
3,LOW,2026-09-01,GLOBEX,2+,2026-09-01,2026-09,-0.0235,-0.2894,505.0000,1.6010
3,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,1.6828,-0.3810,505.0000,1.6010
5,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,-0.3322,-0.3860,505.0000,1.6010
5,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,0.7025,-0.5565,505.0000,1.6010
5,LOW,2026-09-01,GLOBEX,2+,2026-09-01,2026-09,-0.0235,0.5929,505.0000,1.6010
5,LOW,2026-09-01,GLOBEX,1,2026-09-01,2026-09,1.6828,-0.4933,505.0000,1.6010
3,HIGH,2025-10-27,RTH,0,2025-10-27,2025-10,-1.1559,-1.0286,494.7500,1.6018
5,HIGH,2025-10-27,RTH,0,2025-10-27,2025-10,-1.1559,-1.0211,494.7500,1.6018
3,LOW,2026-05-18,GLOBEX,0,2026-05-18,2026-05,1.3072,0.2943,549.5000,1.6019
3,HIGH,2026-03-30,RTH,0,2026-03-31,2026-03,0.6189,0.1915,612.0000,1.6024
3,HIGH,2026-03-31,GLOBEX,0,2026-03-31,2026-03,5.1327,2.7794,612.0000,1.6024
3,HIGH,2026-03-31,GLOBEX,2+,2026-03-31,2026-03,8.3765,0.1159,612.0000,1.6024
5,HIGH,2026-03-30,RTH,0,2026-03-31,2026-03,0.6189,0.0277,612.0000,1.6024
5,HIGH,2026-03-31,GLOBEX,0,2026-03-31,2026-03,5.1327,2.5749,612.0000,1.6024
