swing_width,type,pivot_date,pivot_session,confluence_bucket,break_date,break_month,touchVolZ,breakVolZ,mfe_pts,mfe_atr
5,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,3.9953,1.0109,412.7500,1.6172
5,LOW,2026-01-14,GLOBEX,2+,2026-01-14,2026-01,1.6186,-0.2436,412.7500,1.6172
3,LOW,2026-02-04,GLOBEX,2+,2026-02-04,2026-02,-0.2438,1.2489,533.0000,1.6175
3,LOW,2026-05-11,GLOBEX,1,2026-05-12,2026-05,6.7771,2.2493,516.2500,1.6179
3,LOW,2026-05-11,GLOBEX,1,2026-05-12,2026-05,4.0945,2.1109,516.2500,1.6179
3,LOW,2026-05-12,GLOBEX,0,2026-05-12,2026-05,1.4278,-0.2894,516.2500,1.6179
5,LOW,2026-05-11,GLOBEX,1,2026-05-12,2026-05,4.0945,1.9123,516.2500,1.6179
5,LOW,2026-05-12,GLOBEX,0,2026-05-12,2026-05,1.4278,-0.4196,516.2500,1.6179
3,HIGH,2026-03-20,GLOBEX,0,2026-03-20,2026-03,1.6727,0.5777,611.5000,1.6181
5,HIGH,2026-03-20,GLOBEX,0,2026-03-20,2026-03,1.6727,0.4237,611.5000,1.6181
3,HIGH,2026-02-06,GLOBEX,1,2026-02-06,2026-02,3.4417,0.6657,579.2500,1.6191
5,HIGH,2026-02-06,GLOBEX,1,2026-02-06,2026-02,3.4417,1.0797,579.2500,1.6191
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.7669,-0.2855,601.0000,1.6191
5,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.7669,-0.0733,601.0000,1.6191
3,HIGH,2026-03-31,RTH,0,2026-03-31,2026-03,0.3170,-0.1101,618.5000,1.6194
3,HIGH,2026-03-31,RTH,2+,2026-03-31,2026-03,-0.7728,0.0993,618.5000,1.6194
3,HIGH,2026-03-31,RTH,0,2026-03-31,2026-03,2.8875,-0.1460,618.5000,1.6194
5,HIGH,2026-03-31,RTH,0,2026-03-31,2026-03,0.3170,-0.0629,618.5000,1.6194
5,HIGH,2026-03-31,RTH,2+,2026-03-31,2026-03,-0.7728,0.2804,618.5000,1.6194
5,HIGH,2026-03-31,RTH,0,2026-03-31,2026-03,2.8875,0.0076,618.5000,1.6194
3,LOW,2026-01-02,GLOBEX,2+,2026-01-02,2026-01,1.2773,1.0881,418.2500,1.6196
3,HIGH,2025-09-17,RTH,0,2025-09-17,2025-09,-0.4190,-0.6593,351.0000,1.6197
5,HIGH,2025-09-17,RTH,0,2025-09-17,2025-09,-0.4190,-0.6047,351.0000,1.6197
3,LOW,2026-03-18,GLOBEX,0,2026-03-18,2026-03,-0.4722,-0.3511,601.2500,1.6198
