swing_width,type,pivot_date,pivot_session,touchVolZ,touchVolZBucket,breakVolZ,breakVolZBucket,confluenceCount,retest_date,retest_session,rxn_3,rxn_6,rxn_12,rxn_24
5,LOW,2026-06-19,RTH,-2.4955,NORMAL_LOW,-2.1833,NORMAL_LOW,2+,2026-06-21,GLOBEX,21.7500,47.0000,-82.7500,-19.5000
3,LOW,2026-07-03,RTH,-1.7659,NORMAL_LOW,-2.1698,NORMAL_LOW,2+,2026-07-03,RTH,13.0000,22.0000,3.5000,-9.0000
3,LOW,2026-05-25,RTH,-2.0283,NORMAL_LOW,-2.1673,NORMAL_LOW,2+,2026-05-25,RTH,-2.7500,-14.0000,-13.7500,-38.2500
3,HIGH,2026-07-03,RTH,-2.2364,NORMAL_LOW,-2.1640,NORMAL_LOW,2+,2026-07-05,GLOBEX,-14.7500,27.2500,58.5000,24.2500
3,LOW,2026-05-25,RTH,-1.7708,NORMAL_LOW,-2.1638,NORMAL_LOW,1,2026-05-25,RTH,-11.2500,-23.7500,-29.2500,-42.7500
3,HIGH,2026-05-25,RTH,-2.2685,NORMAL_LOW,-2.1581,NORMAL_LOW,1,2026-05-25,RTH,-15.2500,-4.2500,2.5000,20.0000
5,HIGH,2026-06-19,RTH,-2.1036,NORMAL_LOW,-2.1534,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
3,HIGH,2026-09-07,RTH,-2.5383,NORMAL_LOW,-2.1509,NORMAL_LOW,1,2026-09-07,RTH,2.0000,-4.2500,4.2500,0.5000
5,LOW,2026-09-07,RTH,-1.9322,NORMAL_LOW,-2.1509,NORMAL_LOW,2+,2026-09-07,RTH,20.0000,12.7500,19.2500,-12.2500
3,LOW,2026-09-07,RTH,-2.4081,NORMAL_LOW,-2.1293,NORMAL_LOW,1,2026-09-07,RTH,2.7500,8.2500,3.0000,-2.5000
3,LOW,2026-07-03,GLOBEX,-1.0475,NORMAL_LOW,-2.1245,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
3,HIGH,2026-09-07,RTH,-1.7881,NORMAL_LOW,-2.1244,NORMAL_LOW,2+,2026-09-07,GLOBEX,6.0000,-3.2500,-24.0000,-22.0000
5,HIGH,2025-09-16,RTH,-1.7943,NORMAL_LOW,-2.1050,NORMAL_LOW,1,2025-09-16,GLOBEX,2.2500,2.2500,1.0000,-1.5000
5,HIGH,2026-07-03,RTH,-2.3354,NORMAL_LOW,-2.1005,NORMAL_LOW,2+,2026-07-05,GLOBEX,-13.0000,-23.0000,-43.0000,-58.0000
5,LOW,2025-09-18,RTH,-1.7482,NORMAL_LOW,-2.0994,NORMAL_LOW,1,2025-09-18,GLOBEX,6.2500,7.5000,-1.7500,4.5000
5,HIGH,2026-06-19,RTH,-1.4195,NORMAL_LOW,-2.0990,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
3,HIGH,2026-06-19,RTH,-2.3972,NORMAL_LOW,-2.0976,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,1.0000,5.2500,-20.2500
3,LOW,2026-09-07,RTH,-2.0704,NORMAL_LOW,-2.0962,NORMAL_LOW,2+,2026-09-07,RTH,20.0000,12.7500,19.2500,-12.2500
5,LOW,2026-09-07,RTH,-1.6475,NORMAL_LOW,-2.0926,NORMAL_LOW,2+,2026-09-07,RTH,-1.2500,-3.2500,-5.2500,-3.5000
5,LOW,2026-07-03,RTH,-2.3713,NORMAL_LOW,-2.0903,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
3,HIGH,2026-07-03,RTH,-2.3349,NORMAL_LOW,-2.0848,NORMAL_LOW,2+,2026-07-05,GLOBEX,-1.2500,55.5000,56.0000,40.7500
5,LOW,2026-06-19,RTH,-1.7871,NORMAL_LOW,-2.0835,NORMAL_LOW,2+,2026-06-19,RTH,-51.7500,-46.0000,-120.7500,-94.7500
3,LOW,2026-06-19,RTH,-2.0586,NORMAL_LOW,-2.0833,NORMAL_LOW,2+,2026-06-19,RTH,19.7500,13.0000,14.0000,11.2500
3,LOW,2026-09-07,RTH,-2.2942,NORMAL_LOW,-2.0787,NORMAL_LOW,0,2026-09-07,RTH,-3.2500,-2.0000,-6.5000,19.0000
3,LOW,2026-07-03,RTH,-2.3713,NORMAL_LOW,-2.0661,NORMAL_LOW,2+,2026-07-03,RTH,-3.0000,8.0000,11.0000,4.5000
3,HIGH,2026-09-07,RTH,-2.2712,NORMAL_LOW,-2.0620,NORMAL_LOW,1,2026-09-07,RTH,-5.2500,-4.5000,-9.0000,-2.5000
5,HIGH,2026-06-19,RTH,-2.5820,NORMAL_LOW,-2.0601,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,-4.5000,-32.7500,-20.0000
5,HIGH,2026-07-03,RTH,-2.3349,NORMAL_LOW,-2.0542,NORMAL_LOW,2+,2026-07-05,GLOBEX,-1.2500,55.5000,56.0000,40.7500
3,HIGH,2025-09-17,RTH,-1.8716,NORMAL_LOW,-2.0516,NORMAL_LOW,2+,2025-09-17,RTH,9.5000,22.2500,32.7500,39.5000
3,HIGH,2026-06-19,RTH,-2.5820,NORMAL_LOW,-2.0423,NORMAL_LOW,2+,2026-06-21,GLOBEX,-9.0000,-4.5000,-32.7500,-20.0000
3,LOW,2026-06-19,RTH,-1.7871,NORMAL_LOW,-2.0381,NORMAL_LOW,2+,2026-06-19,RTH,-51.7500,-46.0000,-120.7500,-94.7500
5,HIGH,2025-09-17,RTH,-1.8716,NORMAL_LOW,-2.0286,NORMAL_LOW,2+,2025-09-17,RTH,9.5000,22.2500,32.7500,39.5000
3,LOW,2026-09-07,RTH,-1.6475,NORMAL_LOW,-2.0274,NORMAL_LOW,2+,2026-09-07,RTH,-1.2500,-3.2500,-5.2500,-3.5000
5,HIGH,2026-07-03,RTH,-1.7809,NORMAL_LOW,-2.0165,NORMAL_LOW,2+,2026-07-06,GLOBEX,-3.0000,-3.5000,-4.7500,34.7500
5,HIGH,2026-06-19,RTH,-1.7174,NORMAL_LOW,-2.0080,NORMAL_LOW,1,2026-06-21,GLOBEX,4.5000,15.5000,-2.0000,-7.5000
5,HIGH,2026-09-07,RTH,-1.7881,NORMAL_LOW,-1.9875,NORMAL_LOW,2+,2026-09-07,GLOBEX,6.0000,-3.2500,-24.0000,-22.0000
3,HIGH,2026-07-03,RTH,-1.7809,NORMAL_LOW,-1.9835,NORMAL_LOW,2+,2026-07-06,GLOBEX,-3.0000,-3.5000,-4.7500,34.7500
5,LOW,2026-07-03,RTH,-1.7796,NORMAL_LOW,-1.9835,NORMAL_LOW,2+,2026-07-03,RTH,7.0000,10.5000,1.0000,20.5000
5,LOW,2026-06-19,RTH,-2.0586,NORMAL_LOW,-1.9787,NORMAL_LOW,2+,2026-06-19,RTH,19.7500,13.0000,14.0000,11.2500
5,LOW,2026-05-25,RTH,-1.8922,NORMAL_LOW,-1.9787,NORMAL_LOW,2+,2026-05-25,RTH,0.5000,1.2500,-16.2500,-21.2500
3,HIGH,2026-09-07,RTH,-1.9561,NORMAL_LOW,-1.9701,NORMAL_LOW,1,2026-09-07,RTH,2.0000,-4.2500,4.2500,0.5000
3,HIGH,2026-09-07,RTH,-1.8443,NORMAL_LOW,-1.9684,NORMAL_LOW,1,2026-09-07,RTH,-5.7500,-1.0000,1.7500,-6.7500
3,HIGH,2025-09-17,RTH,-1.7100,NORMAL_LOW,-1.9668,NORMAL_LOW,1,2025-09-17,RTH,28.2500,-13.5000,-30.0000,-7.5000
3,LOW,2025-09-18,RTH,-1.7482,NORMAL_LOW,-1.9649,NORMAL_LOW,1,2025-09-18,GLOBEX,6.2500,7.5000,-1.7500,4.5000
3,HIGH,2026-05-25,RTH,-1.6728,NORMAL_LOW,-1.9645,NORMAL_LOW,2+,2026-05-25,RTH,-5.2500,-10.0000,-1.2500,-32.5000
5,LOW,2026-07-03,RTH,-1.8403,NORMAL_LOW,-1.9644,NORMAL_LOW,2+,2026-07-03,RTH,7.0000,10.5000,1.0000,20.5000
5,HIGH,2026-07-03,GLOBEX,-0.1713,NORMAL_LOW,-1.9642,NORMAL_LOW,2+,2026-07-06,GLOBEX,-3.0000,-3.5000,-4.7500,34.7500
3,LOW,2026-06-19,RTH,-1.9197,NORMAL_LOW,-1.9637,NORMAL_LOW,2+,2026-06-19,RTH,4.0000,8.5000,16.5000,31.5000
3,LOW,2026-07-03,RTH,-1.8403,NORMAL_LOW,-1.9603,NORMAL_LOW,2+,2026-07-03,RTH,7.0000,10.5000,1.0000,20.5000
3,LOW,2026-07-03,RTH,-1.6855,NORMAL_LOW,-1.9548,NORMAL_LOW,2+,2026-07-03,RTH,-11.5000,-4.5000,-5.7500,10.2500
5,HIGH,2025-09-30,GLOBEX,-0.9345,NORMAL_LOW,-1.9539,NORMAL_LOW,1,2025-09-30,RTH,-7.5000,-11.2500,63.0000,43.0000
3,HIGH,2025-09-29,GLOBEX,-0.8901,NORMAL_LOW,-1.9467,NORMAL_LOW,1,2025-09-29,RTH,-45.0000,-53.0000,-44.0000,-67.0000
5,HIGH,2026-05-25,RTH,-1.6728,NORMAL_LOW,-1.9460,NORMAL_LOW,2+,2026-05-25,RTH,-5.2500,-10.0000,-1.2500,-32.5000
3,HIGH,2025-09-18,RTH,-1.6352,NORMAL_LOW,-1.9435,NORMAL_LOW,2+,2025-09-18,GLOBEX,3.2500,-5.2500,9.0000,-4.0000
3,LOW,2025-09-18,RTH,-2.1507,NORMAL_LOW,-1.9406,NORMAL_LOW,1,2025-09-18,RTH,3.0000,-26.2500,39.5000,79.0000
5,HIGH,2026-09-07,RTH,-1.9561,NORMAL_LOW,-1.9396,NORMAL_LOW,1,2026-09-07,RTH,2.0000,-4.2500,4.2500,0.5000
5,LOW,2026-07-03,RTH,-1.6855,NORMAL_LOW,-1.9340,NORMAL_LOW,2+,2026-07-03,RTH,-11.5000,-4.5000,-5.7500,10.2500
3,LOW,2026-05-25,RTH,-1.8922,NORMAL_LOW,-1.9312,NORMAL_LOW,2+,2026-05-25,RTH,0.5000,1.2500,-16.2500,-21.2500
3,LOW,2026-05-25,RTH,-2.1935,NORMAL_LOW,-1.9296,NORMAL_LOW,2+,2026-05-25,RTH,-10.7500,-14.2500,-24.0000,-4.0000
