streakMin,volLabel,stopType,targetMult,holdMin,N,WR,EV,stopPct,targetPct,clustering
3,HIGH_VOL,0.75xATR,1.5,240,2136,48.55,1.44,8.10,2.25,8.57
1,ANY_VOL,1.5xATR,0.5,120,8253,51.33,1.43,0.22,9.90,6.20
2,ANY_VOL,1.5xATR,1.5,240,6085,50.30,1.34,0.46,1.12,5.85
2,HIGH_VOL,ZONE,1,120,2929,44.45,1.33,34.62,2.08,8.54
1,HIGH_VOL,ZONE,0.75,120,4002,44.63,1.27,35.18,4.25,8.67
2,HIGH_VOL,0.75xATR,0.75,120,2929,50.05,1.26,4.40,4.95,8.54
1,ANY_VOL,1.5xATR,1.5,240,8253,50.39,1.21,0.53,1.07,6.20
3,HIGH_VOL,0.75xATR,0.5,120,2136,50.56,1.06,4.78,13.53,8.57
1,HIGH_VOL,1.5xATR,0.75,120,4002,50.05,0.95,0.25,4.57,8.67
2,HIGH_VOL,ZONE,0.75,120,2929,44.55,0.93,34.62,4.54,8.54
1,HIGH_VOL,0.75xATR,0.75,120,4002,50.05,0.86,4.22,4.57,8.67
2,ANY_VOL,ZONE,1,120,6085,43.66,0.75,38.42,1.40,5.85
1,HIGH_VOL,1.5xATR,1.5,240,4002,49.88,0.71,0.67,1.95,8.67
3,ANY_VOL,ZONE,1,120,4413,43.76,0.62,38.75,1.52,6.03
2,ANY_VOL,ZONE,0.5,120,6085,44.22,0.51,38.37,9.02,5.85
2,ANY_VOL,0.75xATR,0.5,240,6085,51.34,0.47,6.26,17.24,5.85
3,HIGH_VOL,1.5xATR,1.5,240,2136,49.39,0.45,0.56,2.25,8.57
3,ANY_VOL,ZONE,0.75,120,4413,43.80,0.43,38.75,3.33,6.03
2,ANY_VOL,ZONE,0.75,120,6085,43.71,0.42,38.42,3.07,5.85
1,ANY_VOL,ZONE,1,120,8253,43.74,0.39,38.60,1.39,6.20
2,HIGH_VOL,1.5xATR,1.5,240,2929,49.61,0.30,0.65,2.05,8.54
1,ANY_VOL,ZONE,0.5,120,8253,44.31,0.13,38.53,8.89,6.20
1,ANY_VOL,ZONE,0.75,120,8253,43.81,0.07,38.60,2.96,6.20
3,ANY_VOL,ZONE,0.5,120,4413,44.23,-0.05,38.70,8.91,6.03
3,ANY_VOL,0.75xATR,1.5,240,4413,49.56,-0.09,6.55,1.25,6.03
1,ANY_VOL,0.75xATR,0.5,240,8253,51.45,-0.21,6.42,17.18,6.20
2,HIGH_VOL,ZONE,1.5,240,2929,38.44,-0.44,47.73,1.74,8.54
2,ANY_VOL,1.5xATR,0.5,240,6085,51.72,-0.60,0.46,17.29,5.85
1,ANY_VOL,0.75xATR,0.75,240,8253,50.22,-0.65,6.56,7.11,6.20
2,ANY_VOL,0.75xATR,0.75,240,6085,50.07,-1.00,6.43,6.90,5.85
3,ANY_VOL,1.5xATR,1.5,240,4413,49.97,-1.17,0.43,1.25,6.03
1,ANY_VOL,0.75xATR,1,240,8253,50.07,-1.23,6.57,3.07,6.20
2,ANY_VOL,0.75xATR,1,240,6085,49.93,-1.46,6.44,2.94,5.85
1,ANY_VOL,1.5xATR,0.5,240,8253,51.79,-1.56,0.53,17.22,6.20
1,ANY_VOL,ZONE,1.5,240,8253,37.73,-1.61,51.16,0.93,6.20
1,HIGH_VOL,ZONE,0.5,240,4002,40.88,-1.85,46.88,18.92,8.67
1,ANY_VOL,1.5xATR,0.75,240,8253,50.56,-2.09,0.53,7.11,6.20
2,ANY_VOL,1.5xATR,0.75,240,6085,50.45,-2.15,0.46,6.90,5.85
1,HIGH_VOL,0.75xATR,0.5,240,4002,51.40,-2.53,8.00,21.76,8.67
3,ANY_VOL,0.75xATR,0.5,240,4413,50.80,-2.58,6.44,16.61,6.03
2,ANY_VOL,1.5xATR,1,240,6085,50.30,-2.58,0.46,2.94,5.85
3,HIGH_VOL,ZONE,1.5,240,2136,38.06,-2.61,47.66,1.92,8.57
1,ANY_VOL,1.5xATR,1,240,8253,50.41,-2.65,0.53,3.07,6.20
1,HIGH_VOL,ZONE,1,240,4002,38.86,-3.01,47.85,3.77,8.67
3,ANY_VOL,0.75xATR,0.75,240,4413,49.72,-3.08,6.55,6.84,6.03
1,HIGH_VOL,ZONE,0.75,240,4002,39.13,-3.16,47.68,7.95,8.67
2,ANY_VOL,ZONE,1.5,240,6085,37.45,-3.43,51.06,0.95,5.85
1,HIGH_VOL,0.75xATR,1,240,4002,49.30,-3.46,8.07,4.32,8.67
1,HIGH_VOL,0.75xATR,0.75,240,4002,49.58,-3.52,8.05,9.15,8.67
1,ANY_VOL,ZONE,0.5,240,8253,39.06,-3.59,50.51,13.96,6.20
3,ANY_VOL,1.5xATR,0.5,240,4413,51.21,-3.60,0.43,16.68,6.03
3,ANY_VOL,0.75xATR,1,240,4413,49.56,-3.92,6.55,2.88,6.03
1,ANY_VOL,ZONE,0.75,240,8253,37.90,-3.97,51.07,5.80,6.20
