threshold,pivotType,pivotPrice,entryTime,direction,entryPrice,stopPrice,streak,isGlobex,fwd30,fwd60,fwd120,fwd240
1.5,LOW,24352,2026-03-08 18:15:00,SHORT,24275.25,24481.3375,0,true,-32.50,-2.50,80.00,262.00
1.5,HIGH,25250,2026-04-09 21:05:00,LONG,25266,25230.39775,12,true,31.50,9.75,14.50,13.25
1.5,LOW,24000,2026-03-22 20:45:00,SHORT,23984.25,24064.46125,4,true,-22.00,-73.00,-30.00,-1.50
1.5,HIGH,25217.5,2026-04-08 05:20:00,LONG,25231.25,25175.517,1,true,-17.75,-39.50,-39.75,-27.25
1.5,LOW,23772.5,2026-03-27 05:10:00,SHORT,23740.75,23812.61725,3,true,-30.50,-5.25,101.00,158.00
1.5,HIGH,24763,2026-04-07 18:50:00,LONG,24849.75,24634.63275,0,true,140.00,188.00,245.25,258.00
1.5,HIGH,24348.25,2026-04-06 04:40:00,LONG,24389,24312.2605,1,true,-12.00,-9.00,-39.25,-75.00
1.5,HIGH,27542.5,2026-04-29 20:05:00,LONG,27587.25,27511.24975,3,true,12.50,-16.00,-23.50,-220.75
1.5,HIGH,29480,2026-05-13 14:15:00,LONG,29544.25,29434.96125,7,false,-22.75,-21.00,-29.25,97.00
1.5,LOW,28742,2026-05-19 10:25:00,SHORT,28711.75,28835.63175,0,false,-31.00,-49.75,-193.50,-330.25
1.5,HIGH,29773.75,2026-05-24 18:40:00,LONG,29804.25,29669.56625,3,true,19.25,54.00,101.00,101.25
1.5,LOW,28663,2026-06-09 12:20:00,SHORT,28537.75,28734.393,0,false,198.50,-211.50,-373.25,-554.00
1.5,HIGH,30379,2026-05-29 09:45:00,LONG,30486,30340.51375,1,false,-47.75,-197.25,-110.00,-140.00
1.5,LOW,29763,2026-06-05 11:20:00,SHORT,29711,29830.33475,2,false,52.75,173.75,342.50,662.75
1.5,HIGH,30807.75,2026-06-16 10:30:00,SHORT,30608.25,30832.92025,14,false,2.75,55.25,95.50,149.50
1.5,LOW,28781.25,2026-06-09 12:10:00,SHORT,28621.75,28869.65175,0,false,364.25,61.50,-221.50,-501.00
1.5,HIGH,29848.25,2026-06-23 04:25:00,SHORT,29799.25,29910.22475,1,true,-27.50,-123.75,-37.25,36.50
1.5,LOW,28227.75,2026-07-27 10:35:00,SHORT,28031,28269.22475,4,false,-159.75,16.50,-99.75,-14.75
1.5,HIGH,29250,2026-07-08 04:30:00,SHORT,29084.75,29424.04125,11,true,72.25,115.25,82.50,-82.75
1.5,LOW,28265.75,2026-07-24 15:20:00,SHORT,28229.75,28321.29125,3,false,-6.50,-83.50,-411.25,-371.50
