date,session,swing_width,type,confluence_count,dormancy_hours,touch_vol_z,break_vol_z,z_conf,z_dorm,z_touch,z_break,composite_score,quintile,entry,stop,target_p50,target_p75,p50_hit,p75_hit,stop_hit_p50,stop_hit_p75,time_exit_p50,pnl_p50,pnl_p75,pnl_usd_p50,pnl_usd_p75
2026-02-16,RTH,3,LOW,4,15.47,-2.5132,-1.8484,-1.4434,-0.2099,-1.8044,-2.0938,-5.5514,1,24736.75,24751.25,24569.87,24436.05,0,0,1,1,0,-14.50,-14.50,-31.00,-31.00
2025-09-17,RTH,3,HIGH,5,5.42,-1.8716,-2.0516,-1.5498,-0.2234,-1.4176,-2.3202,-5.5110,1,24302.75,24300.50,24392.47,24464.42,0,0,1,1,0,-2.25,-2.25,-6.50,-6.50
2026-06-21,RTH,5,LOW,2,0.35,-2.4955,-2.1833,-1.0175,-0.2302,-1.7937,-2.4668,-5.5082,1,30568.25,30631.75,30356.28,30186.29,1,0,0,1,0,211.97,-63.50,421.95,-129.00
2026-07-05,RTH,5,HIGH,6,1.03,-1.7809,-2.0165,-1.6259,-0.2293,-1.3629,-2.2810,-5.4991,1,29932.75,29924.25,30180.76,30379.64,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2025-09-17,RTH,5,HIGH,5,6.50,-1.8716,-2.0286,-1.5498,-0.2219,-1.4176,-2.2945,-5.4838,1,24302.75,24300.50,24392.47,24464.42,0,0,1,1,0,-2.25,-2.25,-6.50,-6.50
2026-05-25,GLOBEX,3,LOW,3,0.13,-1.3325,-2.5446,-1.2837,-0.2305,-1.0926,-2.8692,-5.4759,1,29931.50,29937.75,29781.23,29660.73,0,0,1,1,0,-6.25,-6.25,-14.50,-14.50
2026-06-21,RTH,3,LOW,2,0.32,-2.3719,-2.2197,-1.0175,-0.2303,-1.7192,-2.5074,-5.4743,1,30568.25,30642.25,30356.28,30186.29,1,0,0,1,0,211.97,-74.00,421.95,-150.00
2026-07-05,RTH,3,HIGH,6,0.48,-1.7809,-1.9835,-1.6259,-0.2300,-1.3629,-2.2443,-5.4631,1,29932.75,29924.25,30180.76,30379.64,0,0,1,1,0,-8.50,-8.50,-19.00,-19.00
2026-06-21,RTH,5,LOW,2,4.92,-2.3719,-2.2059,-1.0175,-0.2241,-1.7192,-2.4920,-5.4527,1,30568.25,30642.25,30356.28,30186.29,1,0,0,1,0,211.97,-74.00,421.95,-150.00
2026-09-07,RTH,3,HIGH,4,0.13,-1.7881,-2.1244,-1.4434,-0.2305,-1.3672,-2.4013,-5.4424,1,29598.75,29594.75,29711.74,29802.35,0,0,1,1,0,-4.00,-4.00,-10.00,-10.00
2026-07-05,RTH,3,HIGH,2,27.15,-2.3354,-2.2409,-1.0175,-0.1942,-1.6972,-2.5309,-5.4398,1,29956.25,29955.25,30204.26,30403.14,0,0,1,1,0,-1.00,-1.00,-4.00,-4.00
2026-05-25,GLOBEX,5,LOW,3,0.30,-1.3325,-2.4982,-1.2837,-0.2303,-1.0926,-2.8175,-5.4240,1,29931.50,29937.75,29781.23,29660.73,0,0,1,1,0,-6.25,-6.25,-14.50,-14.50
