Setup|Regime|Trades|PnL|EV|AvgTarget|AvgStop
DAILY_OPEN_FADE_LONG|Middle 50%|66|2600.00|39.39|64.1|111.7
DAILY_OPEN_FADE_LONG|Edge|108|3722.00|34.46|64.5|112.0
PM_VAL_FADE_SHORT|Middle 50%|20|1520.00|76.00|68.8|109.3
PD_HIGH_FADE_LONG|Edge|72|-2541.76|-35.30|44.9|100.3
PW_VAH_FADE_SHORT|Middle 50%|22|1027.00|46.68|40.8|101.8
PW_VAH_FADE_SHORT|Edge|36|-213.00|-5.92|40.8|101.8
PW_HIGH_FADE_SHORT|Edge|48|-3525.00|-73.44|44.0|73.8
PM_HIGH_FADE_SHORT|Edge|30|2409.84|80.33|63.0|72.6
PM_HIGH_FADE_LONG|Edge|30|2659.84|88.66|63.0|72.6
ONH_FADE_LONG|Edge|20|-734.00|-36.70|57.8|94.0
PW_HIGH_FADE_LONG|Edge|34|2742.00|80.65|44.0|73.8
PM_VAH_FADE_LONG|Edge|20|-1068.00|-53.40|64.8|120.3
FLOOR_S3_FADE_LONG|Edge|27|2051.84|75.99|76.4|110.5
RTH_VWAP_FADE_LONG|Middle 50%|74|-946.00|-12.78|40.0|90.0
RTH_VWAP_FADE_LONG|Edge|153|-2680.00|-17.52|40.1|90.2
RTH_VWAP_FADE_SHORT|Middle 50%|71|-176.00|-2.48|40.0|90.0
RTH_VWAP_FADE_SHORT|Edge|139|-1330.00|-9.57|40.2|90.1
MONTHLY_VWAP_FADE_SHORT|Middle 50%|42|4784.00|113.90|300.0|300.0
MONTHLY_VWAP_FADE_SHORT|Edge|38|4792.00|126.11|300.0|300.0
MONTHLY_VWAP_FADE_LONG|Middle 50%|39|-4820.00|-123.59|300.0|300.0
MONTHLY_VWAP_FADE_LONG|Edge|57|-8414.00|-147.61|300.0|300.0
GLOBEX_VWAP_FADE_SHORT|Middle 50%|79|1924.00|24.35|38.7|82.9
GLOBEX_VWAP_FADE_SHORT|Edge|143|-4840.00|-33.85|38.2|81.7
GLOBEX_VWAP_FADE_LONG|Middle 50%|67|-572.00|-8.54|37.9|82.7
GLOBEX_VWAP_FADE_LONG|Edge|145|3308.00|22.81|37.5|82.2
